mondo_id,mondo_name,mondo_depth,n_genes_ppi,n_genes_direct,n_genes_propagated,passed_direct_filter,in_omim,in_gwas
MONDO:0008487,polycystic ovary syndrome,3,23,23,0,True,True,True
MONDO:0004982,pancreatitis,3,23,6,17,True,True,True
MONDO:0011962,endometrial cancer,7,23,20,3,True,True,True
MONDO:0012727,Kawasaki disease,4,22,22,0,True,False,True
MONDO:0001149,microcephaly,3,22,16,6,True,True,False
MONDO:0008015,motion sickness,4,22,22,0,True,False,True
MONDO:0004910,mitral valve prolapse,6,22,20,2,True,True,True
MONDO:0005021,dilated cardiomyopathy,6,22,12,10,True,False,True
MONDO:0005258,autism spectrum disorder,6,21,8,13,True,False,True
MONDO:0022578,childhood bladder carcinoma,7,21,21,0,True,True,True
MONDO:0019391,Fanconi anemia,4,21,21,0,True,True,False
MONDO:0001187,urinary bladder cancer,5,21,1,20,True,False,True
MONDO:0019086,carcinoma of esophagus,5,21,2,19,True,True,False
MONDO:0005140,ovarian carcinoma,8,21,20,1,True,False,True
MONDO:0007950,mastocytosis,4,21,14,7,True,True,True
MONDO:0013860,idiopathic membranous glomerulonephritis,3,21,21,0,True,False,True
MONDO:0000723,stutter disorder,4,21,21,0,True,True,True
MONDO:0015129,chronic primary adrenal insufficiency,7,21,1,20,True,True,False
MONDO:0033885,"mitochondrial complex IV deficiency, nuclear-type",6,20,20,0,True,True,False
MONDO:0005406,gestational diabetes,4,20,20,0,True,False,True
MONDO:0001516,spinal muscular atrophy,6,20,11,9,True,True,False
MONDO:0002108,thyroid cancer,5,20,15,5,True,True,True
MONDO:0002412,disorder of glycogen metabolism,5,20,1,19,True,True,False
MONDO:0002442,long QT syndrome,3,20,5,15,True,True,True
MONDO:0020066,Ehlers-Danlos syndrome,3,20,17,3,True,True,False
MONDO:0021002,syndactyly,3,20,4,16,True,True,False
MONDO:0009637,inborn mitochondrial myopathy,4,20,1,19,True,True,False
MONDO:0003441,dystonic disorder,5,20,4,16,True,True,False
MONDO:0018646,sclerosing cholangitis,4,20,1,19,True,True,False
MONDO:0016695,oligodendroglioma,8,20,20,0,True,False,True
MONDO:0600023,idiopathic inflammatory myopathy,4,20,4,16,True,False,True
MONDO:0018838,lissencephaly spectrum disorders,3,20,3,17,True,True,False
