disease,z_score,separation,n_genes,p_value,p_adj_fdr,p_adj_bonf,sig_fdr,relationship
neuromuscular disease,5.4397519398230765,0.1267441230093691,339,0.0,0.0,0.0,***,Separated
melanoma,5.558771207225192,0.4575706471791263,59,0.0,0.0,0.0,***,Separated
schizophrenia,5.56095397885248,0.033925918169616986,599,0.0,0.0,0.0,***,Separated
hereditary spastic paraplegia,5.71992219267997,0.6093614770617686,31,0.0,0.0,0.0,***,Separated
leukodystrophy,5.781239440711669,0.4387105540422669,72,0.0,0.0,0.0,***,Separated
long QT syndrome,5.785905975136185,0.6635492263948468,20,0.0,0.0,0.0,***,Separated
osteogenesis imperfecta,5.834364330487393,0.43026400942792553,63,0.0,0.0,0.0,***,Separated
cholelithiasis,5.852999730105067,0.3958957813195543,69,0.0,0.0,0.0,***,Separated
Ehlers-Danlos syndrome,5.857174091875947,0.7248055501722497,20,0.0,0.0,0.0,***,Separated
congenital heart disease,5.910182277322444,0.5336592808360205,38,0.0,0.0,0.0,***,Separated
spondyloepiphyseal dysplasia,5.947707615512214,0.6315654081261273,26,0.0,0.0,0.0,***,Separated
atactic disorder,6.057073568158244,0.3515064059161628,114,0.0,0.0,0.0,***,Separated
neurodevelopmental disorder,6.169623156349523,0.15276965489685934,333,0.0,0.0,0.0,***,Separated
Charcot-Marie-Tooth disease,6.274273074894936,0.5069588034172012,54,0.0,0.0,0.0,***,Separated
microphthalmia,6.321471170951508,0.6124397134497024,34,0.0,0.0,0.0,***,Separated
immunodeficiency disease,6.504296800450369,0.33855026895474816,128,0.0,0.0,0.0,***,Separated
obesity disorder,6.527548446824593,0.5140577224252367,53,0.0,0.0,0.0,***,Separated
aplastic anemia,6.593073826712035,0.5706247393088544,51,0.0,0.0,0.0,***,Separated
muscular dystrophy,6.700790583209097,0.5668493563862311,41,0.0,0.0,0.0,***,Separated
pontocerebellar hypoplasia,6.732974430830733,0.748840273673792,24,0.0,0.0,0.0,***,Separated
osteochondrodysplasia,6.851217216433242,0.3127344733166053,131,0.0,0.0,0.0,***,Separated
Fanconi anemia,6.981829377771138,0.8482437671689154,21,0.0,0.0,0.0,***,Separated
inherited retinal dystrophy,7.083247158629457,0.23660596603896433,172,0.0,0.0,0.0,***,Separated
retinal degeneration,7.120012964124464,0.22630226006029686,183,0.0,0.0,0.0,***,Separated
inherited lipid metabolism disorder,7.296189483593174,0.3503980296433127,121,0.0,0.0,0.0,***,Separated
"mitochondrial complex IV deficiency, nuclear-type",7.423696476382564,0.8582794118923172,20,0.0,0.0,0.0,***,Separated
ichthyosis,7.721597645242651,0.6937394708108409,30,0.0,0.0,0.0,***,Separated
cone-rod dystrophy,8.056739705218813,0.7471538986813331,23,0.0,0.0,0.0,***,Separated
male infertility,10.223896465707485,0.6050836184693373,59,0.0,0.0,0.0,***,Separated
spermatogenic failure,10.256248262893669,0.6232838317844338,56,0.0,0.0,0.0,***,Separated
retinitis pigmentosa,10.57098022536476,0.47678916899176915,82,0.0,0.0,0.0,***,Separated
congenital disorder of glycosylation,11.444495082149338,0.5685279743861604,74,0.0,0.0,0.0,***,Separated
mitochondrial complex I deficiency,11.480712071765613,0.8171245699359377,37,0.0,0.0,0.0,***,Separated
