mondo_id,disease,raw_gene_count,ppi_gene_count,direct_gene_count,reason
MONDO:0018937,mucopolysaccharidosis type 3,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0015924,pulmonary arterial hypertension,6,4,4,below 20 genes in PPI
MONDO:0001117,methemoglobinemia,4,4,3,below 20 genes in PPI
MONDO:0000129,glutaric aciduria,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0016796,"mitochondrial DNA depletion syndrome, encephalomyopathic form",4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0005384,focal epilepsy,7,4,3,below 20 genes in PPI
MONDO:0016356,diffuse cutaneous systemic sclerosis,4,4,4,below 20 genes in PPI
MONDO:0018075,neural tube defect,5,4,0,below 20 genes in PPI; no direct evidence
MONDO:0016643,frontonasal dysplasia,4,4,1,below 20 genes in PPI
MONDO:0005081,preeclampsia,7,4,1,below 20 genes in PPI
MONDO:0017690,disorder of galactose metabolism,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0000984,thalassemia,5,4,3,below 20 genes in PPI
MONDO:0005009,congestive heart failure,6,4,4,below 20 genes in PPI
MONDO:0009807,osteosarcoma,6,4,4,below 20 genes in PPI
MONDO:0001835,facial paralysis,4,4,1,below 20 genes in PPI
MONDO:0017307,disorder of tyrosine metabolism,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0019698,bent bone dysplasia,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0019078,Ritscher-Schinzel syndrome,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0800152,disorder of galactose and fructose metabolism,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0017609,renal tubular dysgenesis,4,4,4,below 20 genes in PPI
MONDO:0017319,hereditary elliptocytosis,4,4,1,below 20 genes in PPI
MONDO:0019690,filamin-related bone disorder,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0017774,hypobetalipoproteinemia,4,4,2,below 20 genes in PPI
MONDO:0017313,disorder of folate metabolism and transport,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0015494,isolated dystonia,6,4,0,below 20 genes in PPI; no direct evidence
MONDO:0002453,retrocochlear disease,8,4,0,below 20 genes in PPI; no direct evidence
MONDO:0001245,microcytic anemia,7,4,0,below 20 genes in PPI; no direct evidence
MONDO:0019225,disorder of gluconeogenesis,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0012817,Ewing sarcoma,14,4,4,below 20 genes in PPI
MONDO:0007827,inclusion body myositis,4,4,2,below 20 genes in PPI
MONDO:0004691,autosomal dominant polycystic kidney disease,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0019233,disorder of peroxisomal beta oxidation,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0100192,liver failure,4,4,1,below 20 genes in PPI
MONDO:0008375,retinal detachment,5,4,4,below 20 genes in PPI
MONDO:0021106,laminopathy,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0021679,gram-positive bacterial infections,6,4,0,below 20 genes in PPI; no direct evidence
MONDO:0001083,Fanconi renotubular syndrome,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0100238,inherited Fanconi renotubular syndrome,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0021658,vascular ectasia,7,4,0,below 20 genes in PPI; no direct evidence
MONDO:0016471,pachyonychia congenita,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0015427,paroxysmal dyskinesia,6,4,0,below 20 genes in PPI; no direct evidence
MONDO:0017847,autosomal recessive spastic ataxia,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0018605,disorders of pentose/polyol metabolism,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0002457,Treacher-Collins syndrome,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0002913,cerebellar neoplasm,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:1040002,PIK3CA-related overgrowth spectrum,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0000170,"microphthalmia, isolated, with coloboma",6,4,0,below 20 genes in PPI; no direct evidence
MONDO:0008029,Bethlem myopathy,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0020250,autosomal dominant optic atrophy,5,4,0,below 20 genes in PPI; no direct evidence
MONDO:0006736,dysplasia of cervix,7,4,0,below 20 genes in PPI; no direct evidence
MONDO:0007390,coumarin resistance,4,4,4,below 20 genes in PPI
MONDO:0007639,fundus albipunctatus,4,4,2,below 20 genes in PPI
MONDO:0007790,Charcot-Marie-Tooth disease type 3,4,4,4,below 20 genes in PPI
MONDO:0100242,glioma susceptibility,9,4,0,below 20 genes in PPI; no direct evidence
MONDO:0700275,"prostate cancer, hereditary",4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0700335,familial isolated dilated cardiomyopathy,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0002122,neuritis,8,4,0,below 20 genes in PPI; no direct evidence
MONDO:0001563,vestibulocochlear nerve disorder,8,4,0,below 20 genes in PPI; no direct evidence
MONDO:0024619,central nervous system infectious disorder,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0000062,isolated microphthalmia,7,4,0,below 20 genes in PPI; no direct evidence
MONDO:0020605,X-linked recessive disease,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0009943,Pyle disease,4,4,2,below 20 genes in PPI
MONDO:0004382,laryngeal disorder,7,4,0,below 20 genes in PPI; no direct evidence
MONDO:0021038,Ewing sarcoma/peripheral primitive neuroectodermal tumor,14,4,0,below 20 genes in PPI; no direct evidence
MONDO:0000355,Ullrich congenital muscular dystrophy,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0100443,RDH5-related retinopathy,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0100444,RLBP1-related retinopathy,4,4,1,below 20 genes in PPI
MONDO:0016063,Cowden disease,5,4,0,below 20 genes in PPI; no direct evidence
MONDO:0011612,glycine encephalopathy,4,4,3,below 20 genes in PPI
MONDO:0016044,cleft lip/palate,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0016058,paroxysmal dystonia,6,4,0,below 20 genes in PPI; no direct evidence
MONDO:0021680,streptococcal infection,6,4,0,below 20 genes in PPI; no direct evidence
MONDO:0016649,Warburg micro syndrome,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0007959,medulloblastoma,4,4,4,below 20 genes in PPI
MONDO:0016558,familial congenital mirror movements,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0700247,RAB18 deficiency,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0100294,"mitochondrial complex II deficiency, nuclear type 1",4,4,4,below 20 genes in PPI
MONDO:0016759,pontocerebellar hypoplasia type 2,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0005571,polycythemia,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0700226,food allergy,5,4,4,below 20 genes in PPI
MONDO:0000447,autosomal dominant polycystic liver disease,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0016112,hereditary inclusion-body myopathy,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0024431,bilirubin metabolism disease,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0031219,mismatch repair cancer syndrome,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0100078,resistant hypertension,7,4,4,below 20 genes in PPI
MONDO:0020836,"autism, susceptiblity to",10,4,0,below 20 genes in PPI; no direct evidence
MONDO:0020010,infectious disorder of the nervous system,4,4,0,below 20 genes in PPI; no direct evidence
MONDO:0018912,Cushing syndrome,3,3,1,below 20 genes in PPI
MONDO:0000200,Zimmermann-Laband syndrome,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0017773,hypoalphalipoproteinemia,3,3,1,below 20 genes in PPI
MONDO:0018877,retinitis punctata albescens,3,3,3,below 20 genes in PPI
MONDO:0018394,male infertility with teratozoospermia due to single gene mutation,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0019100,neuromyelitis optica,3,3,3,below 20 genes in PPI
MONDO:0021057,classic or attenuated familial adenomatous polyposis,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0019648,achondrogenesis,3,3,2,below 20 genes in PPI
MONDO:0021075,neoplastic polyp,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0021071,laryngeal neoplasm,6,3,0,below 20 genes in PPI; no direct evidence
MONDO:0017611,pituitary tumor,3,3,1,below 20 genes in PPI
MONDO:0019280,hypertrichosis,3,3,1,below 20 genes in PPI
MONDO:0004674,chorioretinitis,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0017415,multiple pterygium syndrome,3,3,3,below 20 genes in PPI
MONDO:0006209,fibroblastic neoplasm,7,3,0,below 20 genes in PPI; no direct evidence
MONDO:0018092,Vogt-Koyanagi-Harada disease,7,3,3,below 20 genes in PPI
MONDO:0019675,spondyloepimetaphyseal dysplasia with joint laxity,3,3,3,below 20 genes in PPI
MONDO:0011126,acute insulin response,7,3,3,below 20 genes in PPI
MONDO:0019696,acromesomelic dysplasia,3,3,3,below 20 genes in PPI
MONDO:0018458,familial hypocalciuric hypercalcemia,3,3,3,below 20 genes in PPI
MONDO:0011338,Omenn syndrome,3,3,3,below 20 genes in PPI
MONDO:0005780,hantavirus infectious disease,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0005269,carotid artery disorder,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0016576,split hand-foot malformation,5,3,1,below 20 genes in PPI
MONDO:0024352,viral respiratory tract infection,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0008394,Silver-Russell syndrome,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0021641,Bunyaviridae infectious disease,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0020290,familial atrioventricular septal defect,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0002070,ventricular septal defect,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0021360,tumor of parathyroid gland,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0000387,hypochromic microcytic anemia,6,3,0,below 20 genes in PPI; no direct evidence
MONDO:0000023,infantile liver failure,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0016432,heart-hand syndrome,3,3,1,below 20 genes in PPI
MONDO:0002358,laryngeal carcinoma,6,3,0,below 20 genes in PPI; no direct evidence
MONDO:0017435,popliteal pterygium syndrome,3,3,2,below 20 genes in PPI
MONDO:0020153,cryptophthalmia,3,3,1,below 20 genes in PPI
MONDO:0018306,Griscelli syndrome,3,3,3,below 20 genes in PPI
MONDO:0001357,hypochromic anemia,6,3,0,below 20 genes in PPI; no direct evidence
MONDO:0007893,Noonan syndrome with multiple lentigines,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0800500,childhood-onset epilepsy syndrome with developmental and/or epileptic encephalopathy,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0011740,Carney-Stratakis syndrome,3,3,3,below 20 genes in PPI
MONDO:0003641,central nervous system hematopoietic neoplasm,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0008371,Dowling-Degos disease,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0022308,corticobasal degeneration disorder,6,3,3,below 20 genes in PPI
MONDO:0023644,lip and oral cavity carcinoma,4,3,3,below 20 genes in PPI
MONDO:0024644,myocardial ischemia,6,3,3,below 20 genes in PPI
MONDO:0005213,uterine carcinoma,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0024653,skull neoplasm,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0011719,gastrointestinal stromal tumor,3,3,3,below 20 genes in PPI
MONDO:0023113,familial colorectal cancer,3,3,1,below 20 genes in PPI
MONDO:0024291,vascular malformation,3,3,1,below 20 genes in PPI
MONDO:0024299,vitamin D-dependent rickets,3,3,2,below 20 genes in PPI
MONDO:0005917,placenta disorder,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0100042,cardiac conduction defect,6,3,2,below 20 genes in PPI
MONDO:0002098,facial nerve disorder,5,3,0,below 20 genes in PPI; no direct evidence
MONDO:0002037,pleural disorder,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0036591,adrenal cortex neoplasm,3,3,1,below 20 genes in PPI
MONDO:0024308,pseudoxanthoma elasticum (inherited or acquired),3,3,3,below 20 genes in PPI
MONDO:0024530,Bethlem myopathy 1A,3,3,3,below 20 genes in PPI
MONDO:0044903,myelofibrosis,3,3,3,below 20 genes in PPI
MONDO:0004369,renal infectious disease,6,3,0,below 20 genes in PPI; no direct evidence
MONDO:0000824,congenital diarrhea,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0018373,avascular necrosis,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0002785,skull base neoplasm,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0031421,Olmsted syndrome,3,3,1,below 20 genes in PPI
MONDO:0031037,famililal cerebral cavernous malformations,3,3,1,below 20 genes in PPI
MONDO:0014452,familial dysfibrinogenemia,3,3,3,below 20 genes in PPI
MONDO:0024665,indeterminate sex and/or pseudohermaphroditism,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0017169,multiple endocrine neoplasia,3,3,1,below 20 genes in PPI
MONDO:0016502,Hermansky-Pudlak syndrome without pulmonary fibrosis,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0018470,renal agenesis,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0002352,larynx cancer,6,3,0,below 20 genes in PPI; no direct evidence
MONDO:0021218,placenta neoplasm,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0002872,trophoblastic neoplasm,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0005763,Flaviviridae infectious disease,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0006597,photosensitivity disease,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0002720,sella turcica neoplasm,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0016158,narcolepsy-cataplexy syndrome,6,3,1,below 20 genes in PPI
MONDO:0043771,radiodermatitis,4,3,0,below 20 genes in PPI; no direct evidence
MONDO:0015999,primary pigmented nodular adrenocortical disease,3,3,3,below 20 genes in PPI
MONDO:0003081,thalamic disorder,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0006799,hypothalamic neoplasm,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:1040041,FZD4-related exudative vitreoretinopathy,6,3,0,below 20 genes in PPI; no direct evidence
MONDO:0021227,adrenal gland neoplasm,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0800159,disorder of polyamine metabolism,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0015943,eosinophilic granulomatosis with polyangiitis,9,3,3,below 20 genes in PPI
MONDO:0012470,"prostate cancer, hereditary, 7",3,3,3,below 20 genes in PPI
MONDO:0007119,isolated aniridia,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0017385,malignant migrating partial seizures of infancy,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0013343,C1Q deficiency,3,3,3,below 20 genes in PPI
MONDO:0019719,congenital anomaly of kidney and urinary tract,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0015465,craniometaphyseal dysplasia,3,3,2,below 20 genes in PPI
MONDO:0015447,differentiated thyroid carcinoma,11,3,2,below 20 genes in PPI
MONDO:0007600,primary Fanconi syndrome,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0015358,hereditary motor and sensory neuropathy,3,3,2,below 20 genes in PPI
MONDO:0015990,"focal, segmental or multifocal dystonia",4,3,0,below 20 genes in PPI; no direct evidence
MONDO:1060206,primary dysmenorrhea,4,3,3,below 20 genes in PPI
MONDO:0017329,familial vesicoureteral reflux,7,3,0,below 20 genes in PPI; no direct evidence
MONDO:0002150,hypothalamic disorder,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0009626,pseudo-TORCH syndrome,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0021454,benign neoplasm of eye,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0017749,disorder of multiple glycosylation,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0000507,inclusion body myopathy with Paget disease of bone and frontotemporal dementia,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0015703,T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0980732,Pitt-Hopkins or Pitt-Hopkins-like syndrome,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0009696,juvenile myoclonic epilepsy,3,3,3,below 20 genes in PPI
MONDO:0008323,Liddle syndrome,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0019375,megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0000820,cerebral cavernous malformation,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0017575,mitochondrial neurogastrointestinal encephalomyopathy,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0020044,autosomal recessive metabolic cerebellar ataxia,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0007187,nevoid basal cell carcinoma syndrome,3,3,3,below 20 genes in PPI
MONDO:0018506,mesenchymal tumor of small intestine,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0005502,dengue disease,3,3,1,below 20 genes in PPI
MONDO:0017410,porencephaly,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0005053,ischemic disease,6,3,0,below 20 genes in PPI; no direct evidence
MONDO:0018060,congenital fibrinogen deficiency,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0100349,COACH syndrome,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0009681,Ullrich congenital muscular dystrophy 1A,3,3,3,below 20 genes in PPI
MONDO:0016790,tricarboxylic acid cycle disorder,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0007677,hyperglycinuria,3,3,3,below 20 genes in PPI
MONDO:0000107,auriculocondylar syndrome,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0007500,ear malformation,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0007705,Heinz body anemia,3,3,3,below 20 genes in PPI
MONDO:0009448,iminoglycinuria,3,3,3,below 20 genes in PPI
MONDO:1040043,BBS1-related ciliopathy,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0020143,cerebral lipidosis with dementia,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0100598,autosomal recessive syndromic intellectual disability,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0025193,oculopharyngodistal myopathy,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0007661,Tourette syndrome,5,3,3,below 20 genes in PPI
MONDO:0005518,pseudohermaphroditism,3,3,1,below 20 genes in PPI
MONDO:0000453,short QT syndrome,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0005192,exocrine pancreatic carcinoma,3,3,2,below 20 genes in PPI
MONDO:0005595,laryngeal squamous cell carcinoma,6,3,3,below 20 genes in PPI
MONDO:0015700,immunodeficiency due to a late component of complement deficiency,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0005784,hantavirus hemorrhagic fever with renal syndrome,4,3,3,below 20 genes in PPI
MONDO:0007027,metabolic dysfunction-associated steatohepatitis,3,3,3,below 20 genes in PPI
MONDO:0006032,cystitis,3,3,3,below 20 genes in PPI
MONDO:0005665,Bell's palsy,3,3,3,below 20 genes in PPI
MONDO:0016120,myotonic syndrome,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0006248,hydatidiform mole,4,3,3,below 20 genes in PPI
MONDO:0017265,autosomal recessive congenital ichthyosis,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0005812,influenza,3,3,3,below 20 genes in PPI
MONDO:0017339,exfoliative ichthyosis,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0006497,cerebral palsy,4,3,2,below 20 genes in PPI
MONDO:0044685,autoimmune/inflammatory optic neuropathy,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0020179,palpebral nevus,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0021605,benign eyelid neoplasm,3,3,0,below 20 genes in PPI; no direct evidence
MONDO:0020172,palpebral epidermal tumor,3,3,0,below 20 genes in PPI; no direct evidence
