mondo_id,mondo_name,depth
MONDO:0018698,hereditary neuroendocrine tumor of small intestine,3
MONDO:0018703,isolated splenogonadal fusion,3
MONDO:0018772,Joubert syndrome,3
MONDO:0018780,congenital generalized hypercontractile muscle stiffness syndrome,3
MONDO:0018800,Kallmann syndrome,3
MONDO:0010793,"nephropathy, chronic tubulointerstitial",3
MONDO:0010797,Pearson syndrome,3
MONDO:0010798,proximal tubulopathy-diabetes mellitus-cerebellar ataxia syndrome,3
MONDO:0010802,pancreatic hypoplasia-diabetes-congenital heart disease syndrome,3
MONDO:0018741,paracetamol poisoning,3
MONDO:0018751,hereditary otorhinolaryngologic disease,3
MONDO:0000009,"inherited bleeding disorder, platelet-type",3
MONDO:0000023,infantile liver failure,3
MONDO:0000743,oral hairy leukoplakia,3
MONDO:0000748,mastoiditis,3
MONDO:0017232,recessive intellectual disability-motor dysfunction-multiple joint contractures syndrome,3
MONDO:0017235,familial omphalocele syndrome with facial dysmorphism,3
MONDO:0018755,scorpion envenomation,3
MONDO:0018757,supratip dysplasia,3
MONDO:0018764,microcephalic primordial dwarfism due to RTTN deficiency,3
MONDO:0014388,familial median cleft of the upper and lower lips,3
MONDO:0017269,X-linked ichthyosis syndrome,3
MONDO:0017257,idiopathic posterior uveitis,3
MONDO:0017258,idiopathic panuveitis,3
MONDO:0000462,eye adnexa disorder,3
MONDO:0000179,Neu-Laxova syndrome,3
MONDO:0000733,cornea plana,3
MONDO:0000739,uvulitis,3
MONDO:0000740,adenoid hypertrophy,3
MONDO:0017417,renal-hepatic-pancreatic dysplasia,3
MONDO:0017904,steroid dehydrogenase deficiency-dental anomalies syndrome,3
MONDO:0018301,interstitial cystitis,3
MONDO:0018305,chronic granulomatous disease,3
MONDO:0014482,"intellectual disability, autosomal dominant 29",3
MONDO:0014486,"intellectual disability, autosomal dominant 30",3
MONDO:0014487,congenital sideroblastic anemia-B-cell immunodeficiency-periodic fever-developmental delay syndrome,3
MONDO:0014491,immunodeficiency 37,3
MONDO:0018860,microlissencephaly-micromelia syndrome,3
MONDO:0017394,ketamine-induced biliary dilatation,3
MONDO:0017398,3MC syndrome,3
MONDO:0017400,hypoplastic pancreas-intestinal atresia-hypoplastic gallbalder syndrome,3
MONDO:0017406,hypogonadotropic hypogonadism-severe microcephaly-sensorineural hearing loss-dysmorphism syndrome,3
MONDO:0017408,rapid-onset childhood obesity-hypothalamic dysfunction-hypoventilation-autonomic dysregulation syndrome,3
MONDO:0017409,fetal cytomegalovirus syndrome,3
MONDO:0017413,Reunion island Larsen syndrome,3
MONDO:0013668,tetrasomy 18p,3
MONDO:0000603,autoimmune disorder of cardiovascular system,3
MONDO:0000605,hypersensitivity reaction disease,3
MONDO:0000621,immune system cancer,3
MONDO:0000630,immune system organ benign neoplasm,3
MONDO:0000636,musculoskeletal system benign neoplasm,3
MONDO:0000637,musculoskeletal system cancer,3
MONDO:0043129,merlob grunebaum reisner syndrome,3
MONDO:0017925,T-cell immunodeficiency with epidermodysplasia verruciformis,3
MONDO:0017929,congenital achiasma,3
MONDO:0017427,congenital deformities of limbs,3
MONDO:0017436,lethal congenital contracture syndrome,3
MONDO:0018266,ataxia - telangiectasia variant,3
MONDO:0013659,microcephaly-capillary malformation syndrome,3
MONDO:0013660,"arthrogryposis, Perthes disease, and upward gaze palsy",3
MONDO:0013663,platelet-activating factor acetylhydrolase deficiency,3
MONDO:0017868,diencephalic-mesencephalic junction dysplasia,3
MONDO:0017879,hantavirus pulmonary syndrome,3
MONDO:0017896,familial nonmedullary thyroid carcinoma,3
MONDO:0014495,retinitis pigmentosa-juvenile cataract-short stature-intellectual disability syndrome,3
MONDO:0018883,Berardinelli-Seip congenital lipodystrophy,3
MONDO:0010885,angiokeratoma corporis diffusum with arteriovenous fistulas,3
MONDO:0010891,lethal hemolytic anemia-genital anomalies syndrome,3
MONDO:0010896,pigment dispersion syndrome,3
MONDO:0010874,"enteropathy, familial, with villous edema and immunoglobulin G2 deficiency",3
MONDO:0010875,"pachydermodactyly, familial",3
MONDO:0010879,CODAS syndrome,3
MONDO:0018870,arterial calcification of infancy,3
